LigandID;heavyAtomSize;flexibility
0NS;24;0.0930233
0NT;28;0.0666667
0NU;23;0.0952381
0NV;25;0.06
0NW;40;0.144737
0NX;13;0.0869565
0NY;24;0.12766
0NZ;15;0.107143
0O1;33;0.132353
0O2;40;0.2
0O3;15;0.269231
0O4;27;0.113208
0O5;28;0.107143
0O6;86;0.175824
0O7;24;0.0454545
0O8;31;0.238095
0O9;43;0.259259
0OA;46;0.241379
0OB;14;0.12
0OC;11;0.1
0OD;31;0.130435
0OE;38;0.121212
0OF;38;0.078125
0OG;40;0.1
0OH;31;0.153846
0OJ;31;0.153846
0OK;17;0.0344828
0OL;14;0.0666667
0OM;16;0.142857
0ON;15;0.115385
0OO;15;0.107143
0OP;16;0.129032
0OQ;26;0.0652174
0OR;23;0.261905
0OS;44;0.175
0OT;28;0.169811
0OU;25;0.152174
0OV;23;0.0909091
0OW;23;0.106383
0OX;16;0.0967742
0OY;15;0.0689655
0P0;20;0.297297
0P1;42;0.240964
0P2;24;0.22449
0P4;23;0.162791
0P5;34;0.116667
0P6;12;0
0P8;27;0.16
0PA;9;0.0952381
0PC;28;0.230769
0PF;26;0.06
0PI;32;0.246154
0PJ;32;0.242424
0PK;36;0.225352
0PL;34;0.133333
0PO;52;0.166667
0PP;48;0.207921
0PQ;35;0.191176
0PR;28;0.18
0PX;44;0.185567
0PY;6;0
0PZ;7;0.210526
0Q1;23;0.0444444
0Q2;20;0.0243902
0Q4;59;0.271318
0Q5;47;0.147368
0QA;15;0.214286
0QB;48;0.161905
0QE;2;0
0QF;44;0.193878
0QG;24;0.163636
0QH;37;0.202703
0QI;23;0.208333
0QJ;37;0.144737
0QK;39;0.144578
0QL;11;0.272727
0QN;29;0.229167
0QR;18;0.103448
0QS;54;0.19469
0QV;18;0.0555556
0QW;14;0.0714286
0QX;19;0.0588235
0QY;27;0.0961538
0QZ;7;0.153846
0R0;9;0.0714286
0R1;9;0
0R2;35;0.132353
0R3;32;0.111111
0R4;43;0.121622
0R5;38;0.186441
0R6;38;0.183333
0R7;37;0.186441
0R8;29;0.142857
0R9;32;0.14
0RA;20;0.111111
0RB;21;0.125
0RD;34;0.12069
0RE;8;0.190476
0RF;32;0.104478
0RJ;9;0.25
0RK;35;0.12069
0RM;27;0.16
0RN;15;0.037037
0RO;25;0.0754717
0RP;41;0.176471
0RQ;51;0.236559
0RR;32;0.104167
0RS;36;0.0735294
0RT;27;0.08
0RU;20;0.0882353
0RV;27;0.150943
0RW;10;0
0RX;28;0.117647
0RY;17;0.185185
